fid,Name,descriptio,id,cable_id,color,length,rfs,owners,url,geometry
382,Southeast Asia Japan Cable (SJC),"<div class=""googft-info-window"">
<b>id:</b> southeast-asia-japan-cable-sjc<br>
<b>cable_id:</b> 1604<br>
<b>description:</b> [{""landing_point_id"":5885,""name"":""Chikura, Japan"",""latlon"":""34.976653,139.954652""},{""landing_point_id"":5856,""name"":""Chung Hom Kok",southeast-asia-japan-cable-sjc,1604,#6cbe45,"8,900 km",June 2013,"Globe Telecom,  Google,  KDDI,  Telkom Indonesia,  SingTel,  China Telecom,  TOT,  China Mobile,  Chunghwa Telecom,  Brunei International Gateway",,"MULTILINESTRING ((116.677531 23.355003, 117.168741 22.884654, 118.34999 22.105111, 120.149989 20.163975), (115.199993 14.801154, 116.999991 14.147584, 118.79999 13.929304, 120.149989 14.147584, 120.695692 14.31759), (116.099992 18.251816, 115.199993 19.529071, 114.749993 20.375041, 114.299993 21.635297, 114.202923 22.22205), (103.646095 1.338583, 104.168457 1.237242, 104.287891 1.271755, 104.512696 1.468427, 105.01875 2.81745, 105.749999 3.715978, 107.099998 4.613592, 108.674997 5.510072, 109.349997 5.957819, 111.824995 7.744889, 113.737494 9.967915, 114.749993 13.054151, 115.199993 14.801154, 116.099992 18.251816, 120.149989 20.163975, 121.049988 20.163975, 122.849987 20.585819, 125.999985 21.425998, 130.949981 23.298598, 132.74998 24.122617, 137.249977 27.364668, 138.824976 28.951555, 139.949975 30.901396, 140.399975 32.433313, 139.949975 33.93964, 140.118725 34.405023, 139.954858 34.976568), (114.570696 4.703625, 114.299993 5.061987, 111.824995 7.744889))"
370,FLAG Europe-Asia (FEA),"<div class=""googft-info-window"">
<b>id:</b> flag-europe-asia-fea<br>
<b>cable_id:</b> 1027<br>
<b>description:</b> [{""landing_point_id"":6044,""name"":""Alexandria, Egypt"",""latlon"":""31.191889,29.889787""},{""landing_point_id"":4363,""name"":""Aqaba, Jordan"",""latlo",flag-europe-asia-fea,1027,#c6225a,"28,000 km",November 1997,Global Cloud Xchange,http://www.globalcloudxchange.com,"MULTILINESTRING ((29.89351 31.191469, 30.825052 30.75649, 31.387552 30.514454, 31.950052 30.296163, 32.287551 30.17469, 32.529934 29.972542), (-5.654512 50.043151, -6.299921 49.805594, -7.49992 49.343573, -8.54992 48.704235, -12.599917 44.051519, -12.599917 39.698323, -11.024918 37.94551, -9.787419 36.512388, -8.999919 36.149867, -6.299921 35.967974, -5.624922 35.967935, -5.347578 36.156017, -4.499923 36.058973, -2.249924 36.149867, 2.250073 37.94551, 5.40007 38.299521, 9.000068 38.211179, 10.348614 38.12273, 12.150066 38.299521, 12.600065 38.343613, 13.050065 38.299482, 13.358659 38.116123, 13.050065 38.255287, 12.600065 38.255325, 12.150066 38.211179, 12.150066 36.87322, 12.375065 36.240655, 12.712565 35.785662, 13.331315 35.419781, 14.400064 34.683018, 16.650062 34.312152, 19.350061 34.683018, 25.200056 33.705988, 28.800054 32.433313, 29.89351 31.191469, 30.825052 30.683956, 31.387552 30.417487, 31.950052 30.19898, 32.287551 30.12605, 32.529934 29.972542, 32.484402 29.638336, 32.653274 29.344567, 32.653176 29.113616, 33.412941 28.161052, 34.1438 27.364668, 34.931299 26.562513, 35.550049 25.754704, 36.562548 24.122617, 37.912547 22.052986, 38.700047 20.375041, 39.937546 18.251816, 40.950045 16.534196, 42.075044 14.801154, 42.581294 13.929304, 43.031294 13.054151, 43.228169 12.834869, 43.312544 12.615396, 43.650043 12.395734, 44.550043 11.900823, 45.450042 11.845776, 48.60004 12.725156, 55.350035 14.801154, 58.950032 16.534196, 61.650031 18.251816, 66.600027 19.104405, 70.200025 19.104405, 72.875902 19.076074), (-5.145869 36.427417, -4.724922 36.240655, -4.499923 36.058973), (56.333726 25.121693, 56.925034 24.839313, 58.500033 24.353428, 59.850032 23.711258, 61.425031 22.469444, 61.650031 18.251816), (100.066117 6.613517, 100.293851 6.908036, 100.59971 7.075919, 101.700002 7.298763, 103.048829 7.340025, 105.3 7.521883, 107.999998 8.413185, 109.349997 9.967915, 110.249996 12.615396, 112.949994 18.251816, 113.287494 20.796306, 113.624994 21.635297, 113.949115 22.271492, 114.187542 21.844294, 115.199993 21.216398, 116.549992 21.0065, 118.79999 21.321235, 121.027747 21.143106, 122.849987 21.321235, 123.974986 22.052986, 124.874986 24.122617, 125.099986 25.551883, 125.324985 26.159308, 126.224985 28.557045, 126.449985 29.540508, 127.574984 32.433313, 127.574984 33.189715, 128.024984 34.312152, 128.620784 34.88073), (100.362991 5.353843, 99.675004 5.510072, 97.425005 6.908036), (72.875902 19.076074, 72.675023 16.965103, 73.350022 13.492128, 74.700021 9.524411, 76.50002 6.852191, 78.300019 5.061987, 81.000017 4.389286, 85.500014 5.510072, 90.00001 6.405201, 94.275007 6.628747, 95.400007 6.628747, 97.425005 6.908036, 99.000004 6.852191, 99.675004 6.740482, 100.066117 6.613517), (121.472547 31.247507, 122.174988 31.38283, 122.849987 31.19055, 124.649986 30.804817, 125.662485 30.223306, 126.449985 29.540508), (139.620874 35.144034, 139.443725 34.405023, 139.387475 33.93964, 139.499975 32.433313, 139.049976 31.286739, 137.699977 30.514496, 134.999979 29.736069, 132.74998 29.736069, 130.499982 29.931251, 129.374983 30.901396, 128.024984 32.433313, 127.799984 33.189715, 128.137483 34.312152, 128.620784 34.88073), (35.007081 29.531926, 34.767628 29.089041, 34.517628 28.016313, 34.76255 26.964305, 35.550049 25.754704))"
371,FLAG Europe-Asia (FEA),"<div class=""googft-info-window"">
<b>id:</b> flag-europe-asia-fea<br>
<b>cable_id:</b> 1027<br>
<b>description:</b> [{""landing_point_id"":6044,""name"":""Alexandria, Egypt"",""latlon"":""31.191889,29.889787""},{""landing_point_id"":4363,""name"":""Aqaba, Jordan"",""latlo",flag-europe-asia-fea,1027,#c6225a,"28,000 km",November 1997,Global Cloud Xchange,http://www.globalcloudxchange.com,"MULTILINESTRING ((39.187839 21.484076, 37.912547 22.052986), (137.699977 30.514496, 139.274976 34.312152, 139.255444 35.299521))"
377,Bay of Bengal Gateway (BBG),"<div class=""googft-info-window"">
<b>id:</b> bay-of-bengal-gateway-bbg<br>
<b>cable_id:</b> 1735<br>
<b>description:</b> [{""landing_point_id"":8947,""name"":""Barka, Oman"",""latlon"":""23.679429,58.004324""},{""landing_point_id"":4191,""name"":""Chennai, India"",""latlo",bay-of-bengal-gateway-bbg,1735,#b6b8ba,"8,100 km",Q1 2016,"Vodafone,  Telekom Malaysia,  Omantel,  Reliance Jio Infocom,  Dialog Axiata,  Etisalat,  AT&T,  China Telecom,  Telstra,  Gulf Bridge International",https://www.bayofbengalgateway.com,"MULTILINESTRING ((79.889373 6.820775, 79.537518 5.957819, 78.300019 4.389286), (80.242986 13.063854, 81.450017 12.615396, 83.700015 12.175887, 89.100011 10.85309, 93.150008 9.074207, 95.400007 7.967777, 97.425005 7.131301, 99.675004 5.622041, 100.362991 5.353843), (72.000023 16.965103, 72.875902 19.076074), (97.425005 7.131301, 95.400007 6.405201, 94.275007 6.181557, 90.00001 4.613592, 85.500014 3.715978, 81.000017 3.491423, 78.300019 4.389286, 75.150021 6.852191, 73.350022 9.524411, 72.000023 13.492128, 72.000023 16.965103, 66.825027 20.585819, 62.55003 23.917101, 59.850032 24.63496, 58.725033 25.043329, 56.925034 24.966863, 56.333726 25.121693), (58.725033 25.043329, 58.218783 23.917101, 58.229428 23.679602))"
372,EAC-C2C,"<div class=""googft-info-window"">
<b>id:</b> eac-c2c<br>
<b>cable_id:</b> 1592<br>
<b>description:</b> [{""landing_point_id"":5884,""name"":""Ajigaura, Japan"",""latlon"":""36.383562,140.612268""},{""landing_point_id"":3218,""name"":""Batangas, Philippines"",""latlon"":""13",eac-c2c,1592,#3b57a7,"36,500 km",November 2002,Telstra,https://www.telstraglobal.com,"MULTILINESTRING ((120.127894 21.457551, 118.79999 21.530685, 117.449991 21.844294, 115.649992 22.052986, 114.974993 22.365446, 114.258685 22.318296), (114.202923 22.22205, 114.412493 20.796306, 114.974993 18.251816, 116.999991 16.102326, 119.24999 14.365654, 120.149989 13.820086, 121.066004 13.762423), (121.462586 25.181715, 121.274988 25.754704, 121.949988 26.763587, 123.524987 28.161052, 123.299987 30.12605, 121.472547 31.247507, 121.472547 31.247507, 122.174988 31.478823, 122.849987 31.478823, 128.024984 32.812319, 128.699983 34.312152, 128.999495 35.170382, 129.599982 34.312152, 129.599982 32.812319, 129.599982 31.670513, 130.499982 30.901396, 132.74998 30.901396, 134.999979 31.286739, 136.799977 32.052708, 137.024977 32.812319, 136.874001 34.336831, 137.699977 33.93964, 138.599976 33.93964, 139.274976 34.126101, 140.006225 34.405023, 139.954858 34.976568, 140.231225 34.405023, 140.737475 33.93964, 140.624975 32.433313, 140.174975 30.901396, 138.824976 28.557045, 137.249977 26.964305, 132.74998 23.711258, 130.949981 22.884654, 125.999985 21.216398, 122.849987 20.375041, 121.049988 19.316876, 120.149989 18.678647, 119.24999 17.823934, 119.02499 15.235782, 119.58749 14.583512, 120.149989 13.929304, 121.066004 13.762423, 120.149989 13.382708, 118.79999 12.615396, 116.099992 9.080331, 114.074993 7.744889, 110.699996 5.957819, 110.024996 5.510072, 107.999998 4.613592, 107.099998 4.052702, 105.749999 3.266815, 105.24375 2.81745, 104.625 1.468427, 104.287891 1.229651, 104.16377 1.224061, 103.987012 1.389447, 104.17793 1.263407, 104.287891 1.313858, 104.428467 1.468427, 104.85 2.81745, 105.749999 4.052702, 107.099998 4.949916, 107.999998 5.622041, 110.474996 7.744889, 111.712495 9.967915, 112.724994 12.615396, 114.524993 18.251816, 114.187493 20.796306, 114.258685 22.318296), (124.649986 35.419781, 121.499988 35.785662, 120.342469 36.08731), (103.987012 1.389447, 104.187403 1.289573, 104.287891 1.341927, 104.400391 1.468427, 104.79375 2.81745, 105.749999 4.164913, 107.099998 5.061987, 107.999998 5.733989, 110.249996 7.744889, 111.487495 9.967915, 112.499995 12.615396, 114.299993 18.251816, 114.074993 20.796306, 114.202923 22.22205), (121.383289 25.149984, 121.612488 25.754704, 121.949988 26.058288, 122.849987 26.260241, 128.699983 25.754704, 131.399981 26.159308, 132.74998 26.159308), (114.258685 22.318296, 114.974993 22.26137, 115.649992 21.948678, 117.449991 21.635297, 118.79999 21.0065, 121.027747 20.827993, 122.849987 20.796306, 125.999985 22.052986, 128.699983 23.298598, 132.74998 26.159308), (114.258685 22.318296, 114.974993 22.313417, 115.649992 22.000841, 117.449991 21.739834, 118.79999 21.216398, 121.027747 21.038142, 122.849987 21.216398, 124.199986 22.052986, 125.099986 24.122617, 125.381235 25.551883, 125.662485 26.159308, 126.674984 28.557045, 126.899984 29.540508, 127.349984 30.70814, 125.099986 33.189715, 124.649986 34.312152, 124.649986 35.419781, 125.549985 36.149867, 126.391586 36.57633, 125.549985 35.967974, 125.099986 35.419781, 125.099986 34.312152, 125.324985 33.189715, 128.249983 30.70814, 130.499982 29.540508, 132.74998 29.344567, 134.999979 29.344567, 137.699977 30.12605, 139.274976 30.901396, 141.299974 32.052708, 142.199973 34.405023, 142.199973 35.05223, 141.974974 35.785662, 140.612475 36.383481, 141.749974 35.785662, 141.749974 35.05223, 140.849974 34.126101, 138.599976 33.377806, 137.699977 33.659182, 136.874001 34.336831, 137.474977 32.812319, 137.699977 31.286739, 137.249977 29.344567, 132.74998 26.159308), (125.099986 24.122617, 123.749987 25.247006, 122.849987 25.551883, 121.949988 25.450343, 121.383289 25.149984, 121.949988 25.348717, 122.399988 24.941363, 122.849987 24.122617, 122.399988 22.469444, 121.049988 19.740987, 119.699989 18.678647, 118.79999 17.823934, 118.79999 15.235782, 119.36249 14.583512, 120.149989 14.365654, 120.820203 14.286647, 120.149989 14.03847, 118.79999 13.054151, 115.649992 9.080331, 113.849994 7.744889, 110.474996 5.957819, 109.799996 5.510072, 107.999998 4.725718, 107.099998 4.164913, 105.749999 3.379126, 105.1875 2.81745, 104.596924 1.468427, 104.287891 1.243685, 104.173145 1.250324, 103.987012 1.389447), (120.127894 21.457551, 120.374989 21.635297, 120.543739 22.052986, 120.662196 22.249259))"
373,Asia Submarine-cable Express (ASE)/Cahaya Malaysia,"<div class=""googft-info-window"">
<b>id:</b> asia-submarine-cable-express-asecahaya-malaysia<br>
<b>cable_id:</b> 1679<br>
<b>description:</b> [{""landing_point_id"":5937,""name"":""Changi South, Singapore"",""latlon"":""1.389047,103.987017""},{""landing_point_id"":1",asia-submarine-cable-express-asecahaya-malaysia,1679,#1bb5de,"7,500 km",August 2012,"NTT,  PLDT,  Telekom Malaysia,  Starhub",,"MULTILINESTRING ((105.075 2.81745, 104.79751 2.51341, 104.4 2.424113, 103.850684 2.295707), (126.857211 19.479731, 125.549985 19.316876, 121.049988 19.952623, 119.47499 18.678647, 118.57499 17.823934, 117.563297 15.453232, 116.212492 12.615396, 114.749993 9.080331, 112.949994 7.744889, 110.024996 5.957819, 109.349997 5.510072, 107.999998 4.949916, 107.099998 4.389286, 105.749999 3.603708, 105.075 2.81745, 104.540772 1.468427, 104.287891 1.285789, 104.199317 1.322376, 103.985938 1.385347), (139.816967 35.037519, 139.724975 34.405023, 139.724975 33.93964, 139.949975 32.433313, 139.499975 30.901396, 138.824976 29.736069, 137.249977 28.557045, 132.74998 25.348717, 130.949981 23.917101, 126.857211 19.479731, 124.199986 15.235782, 123.524987 14.365654, 122.950085 14.116522), (119.47499 18.678647, 118.34999 20.163975, 116.999991 21.216398, 115.649992 21.844294, 114.974993 22.157216, 114.258685 22.318296))"
380,SeaMeWe-4,"<div class=""googft-info-window"">
<b>id:</b> seamewe-4<br>
<b>cable_id:</b> 1035<br>
<b>description:</b> [{""landing_point_id"":6044,""name"":""Alexandria, Egypt"",""latlon"":""31.191889,29.889787""},{""landing_point_id"":4196,""name"":""Annaba, Algeria"",""latlon"":""36.90",seamewe-4,1035,#197cb7,"20,000 km",December 2005,"Bangladesh Submarine Cable Company Limited (BSCCL),  Orange,  SingTel,  Telecom Italia Sparkle,  Tata Communications,  Telekom Malaysia,  Airtel (Bharti),  Sri Lanka Telecom,  Etisalat,  Saudi Telecom,  CAT Telecom Public Company Limited,  Tunisia Teleco",http://www.seamewe4.net,"MULTILINESTRING ((91.994833 21.42927, 91.800009 19.952623, 88.200012 13.054151), (66.600027 19.952623, 66.375027 20.375041, 66.600027 23.298598, 67.028542 24.889728), (101.250003 2.480312, 101.700002 2.367913, 102.2209 2.273264))"
375,APCN-2,"<div class=""googft-info-window"">
<b>id:</b> apcn-2<br>
<b>cable_id:</b> 1049<br>
<b>description:</b> [{""landing_point_id"":3218,""name"":""Batangas, Philippines"",""latlon"":""13.765555,121.064939""},{""landing_point_id"":5885,""name"":""Chikura, Japan"",""latlon"":""34.9",apcn-2,1049,#2ab24b,"19,000 km",December 2001,"SingTel,  Verizon,  KDDI,  Chunghwa Telecom,  AT&T,  BT,  Orange,  Softbank Telecom,  NTT,  Tata Communications,  Telekom Malaysia,  Starhub,  PLDT,  China Unicom,  KT,  SingTel Optus,  Telstra,  PCCW,  China Telecom,  LG Uplus,  HKBN Enterprise Solution",http://www.apcn2na.com,"MULTILINESTRING ((140.750951 36.801861, 141.099974 35.785662, 140.343725 34.960082, 139.954858 34.976568, 140.062475 34.405023, 139.837475 33.93964, 139.724975 32.433313, 139.049976 30.901396, 137.699977 29.931251, 134.999979 29.148249, 128.699983 25.95718, 127.349984 25.348717, 125.999985 25.14521, 125.099986 25.14521, 123.749987 25.450343, 122.849987 25.653337, 121.949988 25.551883, 121.462586 25.181715, 121.949988 25.247006, 122.287488 24.941363, 122.624987 24.122617, 122.174988 22.469444, 121.027747 21.771318, 120.127894 21.771318, 118.79999 22.209303, 118.34999 22.417455, 117.281241 22.884654, 116.677531 23.355003, 116.774992 22.469444, 116.549992 20.796306, 115.649992 18.251816, 114.749993 14.801154, 114.299993 13.054151, 113.399994 9.967915, 111.599995 7.744889, 109.124997 5.957819, 108.449997 5.510072, 107.099998 4.725718, 105.749999 3.828234, 104.9625 2.81745, 104.484619 1.468427, 104.287891 1.299824, 104.15918 1.211076, 103.89502 1.309489), (103.89502 1.309489, 104.196973 1.315738, 104.287891 1.369995, 104.344239 1.468427, 104.625 2.367913, 103.950001 3.491423, 103.322657 3.815177, 103.950001 4.052702, 107.999998 7.075531, 108.449997 7.744889, 109.799996 9.967915, 110.699996 12.615396, 113.174994 18.251816, 113.399994 20.796306, 113.681244 21.635297, 113.949115 22.271492, 114.243792 21.844294, 115.199993 21.321235, 116.549992 21.111486, 118.79999 21.425998, 121.027747 21.247996, 122.849987 21.425998, 123.749987 22.052986, 124.649986 24.122617, 124.818736 25.551883, 124.987486 26.159308, 124.649986 30.514496, 122.849987 31.670513, 121.949988 31.622627, 121.395301 31.6198, 121.949988 31.814022, 122.849987 32.052708, 124.199986 32.052708, 128.582796 31.157629, 129.149983 30.901396, 130.499982 29.736069, 132.74998 29.540508, 134.999979 29.540508, 137.699977 30.320465, 139.049976 31.094263, 140.399975 32.433313, 142.649973 35.05223, 142.199973 36.512388, 140.750951 36.801861), (128.582796 31.157629, 128.474983 31.670513, 128.699983 32.812319, 129.037483 34.312152, 128.999495 35.170382, 129.262483 34.312152, 129.149983 32.812319, 128.924983 31.670513, 129.149983 30.901396), (114.749993 14.801154, 116.999991 13.929304, 118.79999 13.710818, 120.149989 13.601498, 121.066004 13.762423, 120.149989 13.492128, 118.79999 13.492128, 116.999991 13.054151, 115.649992 12.944534, 114.749993 12.944534, 114.299993 13.054151))"
376,Tata TGN-Intra Asia (TGN-IA),"<div class=""googft-info-window"">
<b>id:</b> tata-tgn-intra-asia-tgn-ia<br>
<b>cable_id:</b> 1534<br>
<b>description:</b> [{""landing_point_id"":8541,""name"":""Ballesteros, Philippines"",""latlon"":""18.409412,121.513962""},{""landing_point_id"":5940,""name"":""Changi",tata-tgn-intra-asia-tgn-ia,1534,#3fb75d,"6,700 km",March 2009,Tata Communications,http://www.tatacommunications.com,"MULTILINESTRING ((119.924989 18.678647, 121.049988 18.678647, 121.513074 18.418303), (114.183978 22.24962, 114.749993 21.896496, 115.649992 21.635252, 116.999991 21.425998, 118.34999 20.585819, 120.149989 19.740987, 121.049988 19.529071), (103.987012 1.389447, 104.182618 1.276392, 104.287891 1.25772, 104.568848 1.468427, 105.13125 2.81745, 105.749999 3.491423, 107.099998 4.277108, 107.999998 4.837826, 109.574997 5.510072, 110.249996 5.957819, 113.174994 7.744889, 114.974993 9.080331, 116.549992 12.615396, 118.013272 15.453232, 119.02499 17.823934, 119.924989 18.678647, 121.049988 19.529071, 122.849987 19.740987, 125.999985 20.585819, 130.949981 22.052986, 138.599976 24.941363), (107.079198 10.342134, 107.774998 9.635342, 108.674997 9.302442, 111.599995 9.302442, 113.399994 9.080331, 114.974993 9.080331))"
399,Didon,"<div class=""googft-info-window"">
<b>id:</b> didon<br>
<b>cable_id:</b> 1772<br>
<b>description:</b> [{""landing_point_id"":6015,""name"":""Kelibia, Tunisia"",""latlon"":""36.849308,11.089906""},{""landing_point_id"":3215,""name"":""Mazara del Vallo, Italy"",""latlon"":""37",didon,1772,#38b54e,170 km,May 2014,"Orange Tunisie,  Ooredoo Tunisie",,"MULTILINESTRING ((11.090887 36.849936, 11.427361 36.939291, 12.173015 37.457577, 12.591374 37.650584))"
378,Asia Pacific Gateway (APG),"<div class=""googft-info-window"">
<b>id:</b> asia-pacific-gateway-apg<br>
<b>cable_id:</b> 1617<br>
<b>description:</b> [{""landing_point_id"":5802,""name"":""Chongming, China"",""latlon"":""31.619880,121.395212""},{""landing_point_id"":5986,""name"":""Danang, Vietnam"",",asia-pacific-gateway-apg,1617,#b73995,"10,400 km",November 2016,"NTT,  China Telecom,  China Unicom,  Chunghwa Telecom,  KT,  Starhub,  LG Uplus,  China Mobile,  Viettel Corporation,  Vietnam Telecom International,  Global Transit,  Facebook",,"MULTILINESTRING ((125.549985 24.122617, 122.849987 24.839313, 122.174988 24.890349, 121.801453 24.863504), (121.191297 30.306218, 121.499988 30.417529, 124.199986 30.12605, 125.549985 29.540508, 127.574984 28.557045), (127.799984 29.540508, 125.999985 30.70814, 124.199986 31.478823, 122.849987 31.76621, 121.949988 31.670513, 121.395301 31.6198), (136.799977 31.286739, 137.249977 32.812319, 136.874001 34.336831), (112.049995 12.615396, 111.599995 13.054151, 110.699996 14.801154, 109.799996 15.561166, 108.899997 15.886036, 108.192478 16.043395), (107.999998 6.852191, 105.3 7.075531, 103.048829 7.116814, 101.700002 7.187161, 100.59971 7.075919), (114.074993 18.251816, 113.962494 20.796306, 114.258685 22.318296), (128.699983 30.514496, 128.699983 31.670513, 128.924983 32.812319, 129.149983 34.312152, 128.999495 35.170382), (103.322657 3.815177, 103.950001 3.940476, 106.199999 5.510072, 107.999998 6.852191, 111.149995 9.967915, 112.049995 12.615396, 114.074993 18.251816, 116.999991 19.740987, 120.149989 20.375041, 121.049988 20.585819, 122.849987 21.0065, 124.649986 22.052986, 125.549985 24.122617, 125.943735 25.551883, 126.337485 26.159308, 127.574984 28.557045, 127.799984 29.540508, 128.699983 30.514496, 130.499982 30.320465, 132.74998 30.12605, 134.999979 30.514496, 136.799977 31.286739, 138.599976 32.433313, 139.499975 33.93964, 139.612475 34.405023, 139.816967 35.037519), (103.946485 1.327258, 104.187403 1.302655, 104.484619 1.468427, 105.3 2.367913, 106.199999 4.613592, 106.199999 5.510072))"
379,SeaMeWe-4,"<div class=""googft-info-window"">
<b>id:</b> seamewe-4<br>
<b>cable_id:</b> 1035<br>
<b>description:</b> [{""landing_point_id"":6044,""name"":""Alexandria, Egypt"",""latlon"":""31.191889,29.889787""},{""landing_point_id"":4196,""name"":""Annaba, Algeria"",""latlon"":""36.90",seamewe-4,1035,#197cb7,"20,000 km",December 2005,"Bangladesh Submarine Cable Company Limited (BSCCL),  Orange,  SingTel,  Telecom Italia Sparkle,  Tata Communications,  Telekom Malaysia,  Airtel (Bharti),  Sri Lanka Telecom,  Etisalat,  Saudi Telecom,  CAT Telecom Public Company Limited,  Tunisia Teleco",http://www.seamewe4.net,"MULTILINESTRING ((12.150066 38.387755, 12.262566 38.211179, 12.262566 36.87322, 12.487565 36.240655, 12.712565 35.876871, 13.500065 35.419781, 14.400064 34.867831, 16.650062 34.497791, 19.350061 34.867831, 25.200056 33.846256, 28.800054 32.528215, 29.89351 31.191469, 30.825052 30.828971, 31.387552 30.611324, 31.950052 30.393251, 32.287551 30.223306, 32.542825 29.95909, 32.596877 29.638336, 32.765676 29.344567, 33.046926 28.951555, 33.52527 28.161052, 34.4813 27.364668, 35.437549 26.562513, 36.225049 25.754704, 37.237548 24.122617, 38.587547 22.052986, 39.182761 21.481532), (29.89351 31.191469, 30.825052 30.901396, 31.387552 30.708098, 31.950052 30.490242, 32.287551 30.271898, 32.529934 29.972542), (100.066117 6.613517, 100.057914 6.354443, 99.992484 6.205537, 99.673514 5.956362, 99.000004 5.957819, 97.425005 6.405201), (62.55003 19.952623, 62.32503 22.469444, 59.850032 24.122617, 58.500033 24.583819, 56.925034 24.890349, 56.333726 25.121693), (39.182761 21.481532, 39.375046 20.375041, 40.612545 18.251816, 41.625045 16.534196, 42.412544 14.801154, 42.918794 13.929304, 43.200044 13.054151, 43.312544 12.834869, 43.396918 12.615396, 43.818793 12.395734, 44.550043 12.120897, 45.450042 12.285834, 48.60004 13.163719, 55.350035 15.669513, 58.950032 17.395023, 62.55003 19.952623, 66.600027 19.952623, 70.200025 19.529071, 72.875902 19.076074), (13.358659 38.116123, 13.050065 38.343613, 12.600065 38.431793, 12.150066 38.387755, 10.348614 38.211179, 9.000068 38.299521, 8.100068 38.387755, 7.650069 38.651812, 6.18757 41.744359, 5.372531 43.293627), (9.867352 37.276816, 9.675067 37.589787, 9.000068 38.299521), (7.75544 36.902822, 7.875069 37.232354, 8.100068 38.387755), (103.646095 1.338583, 103.500001 1.229284, 103.34065 1.299702, 103.050001 1.468427, 102.150002 1.974446, 101.250003 2.480312, 100.462503 3.266815, 99.450004 4.613592, 98.775004 5.28607, 97.425005 6.405201, 95.400007 8.190543, 93.14493 9.524411, 91.800009 10.410817, 88.200012 13.054151, 83.700015 13.492128, 81.450017 13.273238, 80.242986 13.063854, 81.450017 11.955858, 82.800016 9.524411, 83.250015 7.744889, 82.800016 5.510072, 81.000017 4.613592, 78.300019 4.613592, 75.600021 6.852191, 73.800022 9.524411, 72.450023 13.492128, 72.225023 16.965103, 72.875902 19.076074), (79.872088 6.927037, 79.425018 5.957819, 78.300019 4.613592))"
383,JASUKA,"<div class=""googft-info-window"">
<b>id:</b> jasuka<br>
<b>cable_id:</b> 1844<br>
<b>description:</b> [{""landing_point_id"":14269,""name"":""Bandar Bukit Tinggi, Malaysia"",""latlon"":""3.009286,101.436726""},{""landing_point_id"":9727,""name"":""Bandar Lampung, Indone",jasuka,1844,#334aa0,"10,860 km",2006,Telkom Indonesia,,"MULTILINESTRING ((101.450002 0.533327, 101.250003 0.118588, 100.800003 -0.556402, 100.361624 -0.943868, 100.237503 -0.556402, 99.000004 1.468427, 98.786625 1.747808, 98.662504 2.367913, 98.662504 3.266815, 98.675981 3.752034), (104.175 -2.580537, 104.85 -2.018492, 105.3 -1.793617, 106.199999 -1.906058, 107.541307 -2.393799, 107.662889 -2.767442), (101.447659 1.665521, 101.30635 2.143087, 101.193753 2.367913, 101.250003 2.81745, 101.436721 3.009292), (98.675981 3.752034, 99.208207 3.380588, 99.450004 3.042156, 99.675004 2.367913, 99.827836 2.105125, 100.125003 2.367913, 101.250003 2.929809, 101.436721 3.009292), (106.833397 -6.171587, 106.987498 -5.945707, 107.120994 -5.981159, 107.549998 -4.601454, 107.325999 -3.029996, 107.41743 -2.671323, 107.523533 -2.628241, 107.662889 -2.767442, 107.662889 -2.517708, 107.760545 -2.237969, 108.224998 -1.231316, 108.899997 -0.218911, 109.335544 -0.027017, 108.899997 0.006089, 104.85 0.681072, 104.4 0.793563, 104.2875 0.90605, 104.175 0.962293, 103.916212 1.055833, 103.900001 1.134725, 103.962598 1.134725, 103.884376 1.159134, 103.500001 1.159085, 103.34065 1.159231, 103.050001 1.187253, 102.150002 1.693341, 101.728127 1.693341, 101.447659 1.665521, 101.450002 0.533327, 101.700002 0.118588, 103.050001 -1.231316, 103.609962 -1.589995, 103.725001 -2.130918, 104.175 -2.580537, 104.5125 -2.805288, 104.757324 -2.990987, 104.625 -3.479269, 104.175 -4.377144, 103.838966 -5.040324, 104.4 -5.161911, 104.85 -5.273944, 105.254101 -5.409291, 105.35625 -5.721873, 105.880273 -5.868191, 106.424999 -5.721873, 106.833397 -6.171587))"
